epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.126,1.52192,4.12177,1.62749,0.2953,0.06734,0.03038,0.01299,1.91915,5.62662,2.12585,0.000415381,0.000415381,0.000415381
2,229.671,1.91052,3.91252,1.94119,0.52883,0.07554,0.02675,0.01063,2.17816,6.47113,2.35215,0.000815573,0.000815573,0.000815573
3,333.864,2.00674,3.68355,2.05454,0.52002,0.08976,0.02126,0.008,2.18976,4.71436,2.33834,0.00119926,0.00119926,0.00119926
4,434.827,2.04056,3.54449,2.10211,0.56538,0.0467,0.02551,0.00742,2.31346,4.2421,2.47193,0.00117575,0.00117575,0.00117575
5,534.682,1.96391,3.39779,2.04647,0.33407,0.12576,0.06881,0.02989,2.09687,3.99982,2.24118,0.001151,0.001151,0.001151
6,639.904,1.87835,3.29413,1.96231,0.34108,0.07092,0.07197,0.03041,2.17332,3.73058,2.32522,0.00112625,0.00112625,0.00112625
7,748.373,1.82794,3.2301,1.93061,0.16552,0.17909,0.08321,0.03496,1.92657,4.22996,2.06186,0.0011015,0.0011015,0.0011015
8,847.929,1.78049,3.18243,1.89895,0.34065,0.20365,0.13905,0.0666,1.80777,3.36737,1.9848,0.00107675,0.00107675,0.00107675
9,947.299,1.71593,3.00734,1.83695,0.19659,0.22057,0.13044,0.06867,1.82265,3.17848,1.99363,0.001052,0.001052,0.001052
10,1047,1.68292,2.93196,1.80864,0.37649,0.25605,0.16386,0.08472,1.88504,3.47065,2.06277,0.00102725,0.00102725,0.00102725
11,1146.9,1.65331,2.89753,1.79912,0.28011,0.24431,0.184,0.09626,1.85849,3.05163,1.99631,0.0010025,0.0010025,0.0010025
12,1246.91,1.62649,2.81771,1.76954,0.32054,0.22005,0.20214,0.11592,1.69571,2.96494,1.88092,0.00097775,0.00097775,0.00097775
13,1346.24,1.57581,2.76845,1.72982,0.31422,0.30719,0.21752,0.12539,1.64174,3.27059,1.87762,0.000953,0.000953,0.000953
